,Unnamed: 0,TrackID,cell_x,cell_y,death_time
258,258,275,302.25,856.05,265
259,259,276,601.25,853.45,205
260,260,277,453.05,865.8,155
261,261,278,322.4,856.7,235
262,262,279,586.95,854.1,215
263,263,280,372.45,815.1,185
264,264,281,562.9,796.9,280
265,265,282,233.35,791.05,200
266,266,283,326.3,796.9,260
267,267,284,460.2,802.1,10
268,268,285,578.5,799.5,170
269,269,286,593.45,802.75,200
270,270,287,398.45,806.65,225
271,271,288,525.2,806.65,155
272,272,290,546.0,806.0,255
273,273,291,309.4,805.35,230
274,274,292,444.6,811.2,230
275,275,293,341.9,809.9,235
276,276,295,602.55,812.5,185
277,277,297,255.45,811.2,215
278,278,298,565.5,813.15,285
279,279,299,231.4,802.75,230
280,280,300,274.3,815.1,185
281,281,301,423.8,818.35,230
282,282,302,533.0,820.3,175
283,283,303,295.75,820.3,245
284,284,304,325.65,817.7,230
285,285,305,462.8,826.15,160
286,286,306,312.65,823.55,205
287,287,307,508.95,823.55,155
288,288,308,261.3,824.2,205
289,289,309,436.8,827.45,220
290,290,310,495.95,832.0,195
291,291,311,459.55,923.0,175
292,292,312,357.5,899.6,195
293,293,313,501.15,900.9,270
294,294,314,410.8,897.65,255
295,295,315,343.2,899.6,165
296,296,316,371.8,906.1,240
297,297,317,427.05,905.45,210
298,298,318,471.9,908.05,160
299,299,319,526.5,911.95,190
300,300,320,449.8,907.4,155
301,301,321,550.55,911.3,210
302,302,322,493.35,911.3,265
303,303,323,538.85,911.95,275
304,304,324,411.45,912.6,260
305,305,326,353.6,914.55,275
306,306,327,452.4,896.35,200
307,307,328,433.55,923.65,190
308,308,329,478.4,924.3,250
309,309,330,539.5,929.5,205
310,310,331,373.75,922.35,215
311,311,332,408.85,923.0,205
312,312,333,449.8,935.35,165
313,313,334,551.2,930.15,240
314,314,335,431.6,936.0,215
315,315,336,538.85,942.5,220
316,316,337,545.35,946.4,125
317,317,338,540.15,952.9,125
318,318,339,529.1,950.95,295
319,319,340,551.85,945.75,275
320,320,342,461.5,884.0,195
321,321,343,538.85,865.8,315
322,322,344,366.6,866.45,250
323,323,345,477.75,870.35,275
324,324,346,566.15,867.75,120
325,325,347,527.8,871.65,160
326,326,348,311.35,868.4,235
327,327,349,391.3,869.7,280
328,328,350,514.15,877.5,195
329,329,351,302.9,876.2,215
330,330,352,493.35,876.2,200
331,331,353,549.25,871.0,310
332,332,354,358.8,876.2,215
333,333,355,435.5,881.4,235
334,334,357,598.65,872.95,245
335,335,358,472.55,794.95,245
336,336,359,374.4,883.35,235
337,337,361,503.1,887.9,205
338,338,362,591.5,866.45,215
339,339,363,328.9,878.8,230
340,340,364,316.55,878.8,235
341,341,365,529.75,891.8,285
342,342,366,567.45,877.5,185
343,343,368,488.15,891.8,255
344,344,369,551.85,886.6,210
345,345,370,395.2,892.45,265
346,346,373,298.35,731.9,170
347,347,374,135.85,723.45,195
348,348,375,347.1,729.3,205
349,349,376,219.05,727.35,165
350,350,377,596.7,724.75,245
351,351,378,519.35,727.35,200
352,352,379,538.85,728.0,180
353,353,380,96.85,722.15,225
354,354,381,316.55,728.65,195
355,355,382,459.55,733.2,180
356,356,383,481.65,731.25,175
357,357,384,82.55,718.9,230
358,358,385,201.5,739.05,170
359,359,386,250.25,730.6,175
360,360,387,433.55,731.9,205
361,361,388,575.9,733.85,235
362,362,389,420.55,727.35,210
363,363,390,66.95,713.05,140
364,364,391,122.2,728.65,210
365,365,392,233.35,735.15,185
366,366,393,404.3,732.55,225
367,367,394,621.4,727.35,250
368,368,395,386.1,739.05,195
369,369,396,165.75,737.75,20
370,370,397,276.25,738.4,150
371,371,398,135.85,738.4,55
372,372,399,559.0,738.4,240
373,373,400,476.45,742.95,210
374,374,401,416.0,742.95,215
375,375,402,607.75,737.1,255
376,376,403,371.15,744.25,190
377,377,404,601.25,710.45,340
378,378,405,230.75,701.35,180
379,379,406,533.0,702.65,245
380,380,407,642.2,700.05,320
381,381,408,113.75,702.0,225
382,382,409,248.95,706.55,155
383,383,410,571.35,703.95,410
384,384,411,469.3,708.5,230
385,385,412,50.05,700.05,230
386,386,413,385.45,709.8,175
387,387,414,148.2,703.3,155
388,388,415,205.4,708.5,180
389,389,416,370.5,709.15,150
